"Omgange","Tid","Samlet tid","Distance","Gennemsnitstempo","Gennemsnitlig puls","Maks. puls","Højdeforøgelse","Højdereduktion","Gennemsnit kadence løb","Gennemsnitlig skridtlængde","Kalorier","Bedste tempo","Maksimum kadence løb","Tid i bevægelse","Gennemsnitligt bevægelsestempo"
"1","13:47","13:47","0.81","17:05","129","156","4","9","127","0.46","122","5:15","241","10:51","13:27"
"2","4:44.0","18:31","0.36","13:06","135","154","--","4","135","0.57","45","5:44","156","3:24","9:24"
"3","12:34","31:05","0.45","28:01","120","149","8","4","120","0.30","87","6:19","155","6:27","14:22"
"4","7:23.1","38:28","0.64","11:32","137","164","10","6","135","0.65","65","5:32","153","6:26","10:02"
"5","8:44.1","47:12","0.78","11:12","150","170","15","11","136","0.66","93","5:14","222","7:53","10:06"
"6","8:36.1","55:48","1.00","8:36","146","167","13","8","144","0.81","87","4:54","236","7:17","7:17"
"7","13:23","1:09:11","0.60","22:15","135","166","7","10","122","0.37","100","5:48","159","8:44","14:32"
"8","4:54.7","1:14:05","0.36","13:32","150","176","5","6","118","0.63","51","6:46","245","4:54.7","13:31"
"9","4:56.1","1:19:01","0.39","12:37","153","169","13","--","121","0.66","55","5:14","209","4:56","12:37"
"10","10:47","1:29:48","1.00","10:46","152","173","11","19","134","0.69","110","5:51","230","9:24","9:24"
"11","1:04.2","1:30:52","0.06","17:16","131","140","--","--","121","0.48","4","11:10","146","1:03","16:58"
"12","13:14","1:44:07","0.97","13:37","142","170","9","16","122","0.60","109","5:11","161","11:13","11:32"
"13","2:58.7","1:47:05","0.35","8:33","148","162","4","12","140","0.84","27","6:24","150","2:58.7","8:33"
"Oversigt","1:47:05","1:47:05","7.78","13:46","139","176","97","104","129","0.56","955","4:54","245","1:25:31","11:00"
